nom;annee;groupe;temp_RF_moy;pr_RF_total;soil_temp_upper_moy;SMOD_modis;nombre de jour de neige ;LFD_nival
EYNE_POP1;2019;Autres sites;3.6013327381828;843.297015831691;7.66684931506849;242;64;332
EYNE_POP1;2020;Autres sites;3.45150987009081;1142.54309511415;7.9879781420765;224;42;322
EYNE_POP1;2021;Autres sites;2.96209920983653;793.992057877508;7.24931506849315;238;72;NA
EYNE_POP2;2000;Autres sites;4.41749914252608;805.227752145017;6.77650273224044;235;27;317
EYNE_POP2;2001;Autres sites;4.13777841896525;712.018261666123;6.6558904109589;229;45;324
EYNE_POP2;2002;Autres sites;3.90358699136569;997.034126744089;6.4041095890411;222;47;317
EYNE_POP2;2003;Autres sites;4.48255822325289;970.488253762903;6.81424657534247;256;51;279
EYNE_POP2;2004;Autres sites;3.74732787297202;851.836621535871;6.01803278688525;260;67;319
EYNE_POP2;2005;Autres sites;3.6174264136753;814.06450466297;6.23808219178082;225;67;314
EYNE_POP2;2006;Autres sites;4.79289986254158;665.510252658427;7.61616438356164;251;10;279
EYNE_POP2;2007;Autres sites;4.46936600164449;651.002104287226;6.82054794520548;225;13;313
EYNE_POP2;2008;Autres sites;4.06426361132218;918.54085572713;6.29699453551913;248;56;326
EYNE_POP2;2009;Autres sites;4.17936606100165;819.094565618077;7.00821917808219;258;31;321
EYNE_POP2;2010;Autres sites;3.39098481933622;961.329978453804;5.47561643835616;214;31;297
EYNE_POP2;2011;Autres sites;4.75442817762045;865.30995619131;7.37506849315068;211;19;323
EYNE_POP2;2012;Autres sites;4.25782128370402;634.613301643863;7.23579234972678;245;40;327
EYNE_POP2;2013;Autres sites;3.44708871230739;994.574566087799;6.40356164383562;269;65;301
EYNE_POP2;2014;Autres sites;4.60603540616308;1030.94521833167;6.78739726027397;218;37;313
EYNE_POP2;2015;Autres sites;4.76748900597639;864.797076597979;7.77917808219178;224;22;297
EYNE_POP2;2016;Autres sites;3.51120632758957;798.585246977736;7.16120218579235;243;50;320
EYNE_POP2;2017;Autres sites;4.7447950127441;903.199496912979;7.35561643835616;244;46;304
EYNE_POP2;2018;Autres sites;4.17184046348538;1301.15223321216;6.72;225;25;326
EYNE_POP2;2019;Autres sites;4.55524632518983;818.47775487598;7.66684931506849;194;43;286
EYNE_POP2;2020;Autres sites;4.41236302137465;1113.08136870722;7.9879781420765;177;23;308
EYNE_POP2;2021;Autres sites;3.92598724752308;698.555249836417;7.24931506849315;237;59;NA
EYNE_POP3;2000;Autres sites;3.94854055102633;783.969341064909;6.77650273224044;235;24;317
EYNE_POP3;2001;Autres sites;4.06972418176793;707.983500214756;6.6558904109589;229;43;324
EYNE_POP3;2002;Autres sites;3.66441538809512;964.631679589391;6.4041095890411;222;42;317
EYNE_POP3;2003;Autres sites;4.28044535553993;948.065927491028;6.81424657534247;256;49;279
EYNE_POP3;2004;Autres sites;3.38796585845356;825.403231666481;6.01803278688525;260;62;318
EYNE_POP3;2005;Autres sites;3.27452401847945;804.821978297628;6.23808219178082;211;62;314
EYNE_POP3;2006;Autres sites;4.39995500249756;631.35512094262;7.61616438356164;220;8;279
EYNE_POP3;2007;Autres sites;3.91305092762613;641.203548370528;6.82054794520548;225;13;313
EYNE_POP3;2008;Autres sites;3.65564967677072;895.978162913461;6.29699453551913;248;57;326
EYNE_POP3;2009;Autres sites;3.87206559254107;807.336227273089;7.00821917808219;258;35;321
EYNE_POP3;2010;Autres sites;2.92683846479414;922.072208739747;5.47561643835616;213;31;297
EYNE_POP3;2011;Autres sites;4.39421842334423;841.257423133912;7.37506849315068;239;15;323
EYNE_POP3;2012;Autres sites;4.18266581105676;608.566651290358;7.23579234972678;242;36;327
EYNE_POP3;2013;Autres sites;3.22998170404281;992.56009975697;6.40356164383562;227;66;301
EYNE_POP3;2014;Autres sites;4.17909783223259;1008.48017638288;6.78739726027397;209;32;313
EYNE_POP3;2015;Autres sites;4.31109067610757;839.103176820596;7.77917808219178;224;20;297
EYNE_POP3;2016;Autres sites;3.46828654347727;779.494768890083;7.16120218579235;240;56;320
EYNE_POP3;2017;Autres sites;4.82056648031079;900.07004093698;7.35561643835616;238;46;304
EYNE_POP3;2018;Autres sites;3.91086102693174;1278.20650449273;6.72;224;27;281
EYNE_POP3;2019;Autres sites;4.25138933633046;796.553611226266;7.66684931506849;194;40;286
EYNE_POP3;2020;Autres sites;4.19669168436096;1080.85006018333;7.9879781420765;177;24;308
EYNE_POP3;2021;Autres sites;3.58195745581459;685.71706949833;7.24931506849315;221;47;NA
NOHEDES;2000;NOHEDES;5.78914617279805;942.521916248077;12.1543715846995;235;16;284
NOHEDES;2001;NOHEDES;5.36643019892795;816.493423447299;11.8580821917808;229;24;292
NOHEDES;2002;NOHEDES;5.17385987854388;1068.09475457413;11.6213698630137;222;31;282
NOHEDES;2003;NOHEDES;5.45718371886663;1141.68073906355;12.2394520547945;214;19;268
NOHEDES;2004;NOHEDES;5.14014810900375;1114.89659685204;11.6153005464481;199;43;267
NOHEDES;2005;NOHEDES;4.86585763428576;906.635271971909;11.5780821917808;201;36;266
NOHEDES;2006;NOHEDES;6.11322779847782;755.425751675138;13.3980821917808;202;7;277
NOHEDES;2007;NOHEDES;5.43900683680466;797.69736159501;12.8046575342466;135;9;271
NOHEDES;2008;NOHEDES;5.23943673396908;846.68802854949;12.4986338797814;189;32;282
NOHEDES;2009;NOHEDES;5.34779993531647;866.241991347835;13.2572602739726;247;21;258
NOHEDES;2010;NOHEDES;4.41032722639215;1011.92320571779;11.7967123287671;198;9;294
NOHEDES;2011;NOHEDES;6.15284599425492;973.755549764227;13.8956164383562;237;22;275
NOHEDES;2012;NOHEDES;5.5831703769598;782.172035777324;13.496174863388;219;33;265
NOHEDES;2013;NOHEDES;4.76429968064731;1137.68663832222;12.4054794520548;189;22;272
NOHEDES;2014;NOHEDES;5.88084353502186;1075.54689505032;12.9142465753425;208;19;270
NOHEDES;2015;NOHEDES;6.0480874369468;980.311736286944;12.9928767123288;190;12;270
NOHEDES;2016;NOHEDES;4.41726743610427;926.007083798146;12.5177595628415;240;17;291
NOHEDES;2017;NOHEDES;5.85550078573555;927.839039073265;12.9361643835616;202;29;262
NOHEDES;2018;NOHEDES;5.55918806469046;1313.05640169645;12.3591780821918;172;18;257
NOHEDES;2019;NOHEDES;5.8248149766545;768.073415111567;12.8279452054795;162;19;285
NOHEDES;2020;NOHEDES;5.82516182312362;992.801422394356;12.8185792349727;149;12;242
NOHEDES;2021;NOHEDES;5.24448253352474;620.363733678469;12.1780821917808;149;21;NA
VALLTER;2000;Autres sites;3.98537913526007;860.518400894995;6.10546448087432;209;37;317
VALLTER;2001;Autres sites;3.65890266083599;759.550563087547;5.94849315068493;258;57;324
VALLTER;2002;Autres sites;3.39955842532741;1101.69230408854;5.82630136986301;271;53;317
VALLTER;2003;Autres sites;4.13587223445746;1125.89364938487;6.23616438356164;266;51;279
VALLTER;2004;Autres sites;3.36422258658156;971.633845770434;5.48551912568306;262;60;318
VALLTER;2005;Autres sites;3.22104552672933;860.398071102045;6.27315068493151;230;72;314
VALLTER;2006;Autres sites;4.33102410681904;763.763997886391;7.66465753424658;251;11;279
VALLTER;2007;Autres sites;4.03341944727622;711.344337494225;6.73095890410959;225;18;313
VALLTER;2008;Autres sites;3.53239140138113;965.361205334479;6.12377049180328;245;72;326
VALLTER;2009;Autres sites;3.87861689372661;901.256422085784;6.88246575342466;266;40;321
VALLTER;2010;Autres sites;3.01075390693865;1035.98349973595;5.32602739726027;217;34;297
VALLTER;2011;Autres sites;4.33488660691264;1021.22657786361;7.13808219178082;230;41;323
VALLTER;2012;Autres sites;3.91193061346659;662.72808327934;6.98415300546448;267;31;327
VALLTER;2013;Autres sites;2.99986428330925;1057.41031578808;5.92876712328767;255;61;301
VALLTER;2014;Autres sites;4.19489814113883;1087.00564513588;6.74;218;45;313
VALLTER;2015;Autres sites;4.22251196595282;895.789099679201;7.58602739726027;227;18;297
VALLTER;2016;Autres sites;3.22699811949886;879.673136555113;6.96775956284153;243;62;320
VALLTER;2017;Autres sites;4.35992717612751;899.731684307314;7.27041095890411;340;51;304
VALLTER;2018;Autres sites;3.78005653883348;1371.38895361583;6.65068493150685;364;30;281
VALLTER;2019;Autres sites;4.09585073755935;872.696938417557;7.24931506849315;223;62;286
VALLTER;2020;Autres sites;4.14907408801962;1259.3401771941;7.65437158469945;204;26;292
VALLTER;2021;Autres sites;3.66760231478284;777.821087419271;6.82739726027397;237;55;NA
